"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"aresztować";0;0;0;0,00791294308897232;0;0;0;0;0
"aresztowany";0;0;0;0,00316517723558893;0;0;0;0;0
"argument";0,00149243173325909;0;0;0;0;0;0;0;0
"arjena";0;0;0;0;0;0,00162476934979104;0;0;0
"arjenem";0;0;0;0;0;0,00162476934979104;0;0;0
"armada";0;0;0,00150661834669311;0;0;0;0;0;0
"armia";0,00055081214757171;0;0;0,00292043185582205;0;0;0,000652495817870782;0,0006030541244548;0
"arnolda";0;0;0;0;0,00162727156131536;0;0;0;0
"arsenalowi";0;0;0;0;0;0,00162476934979104;0;0;0
"artykuł";0;0;0;0,00791294308897232;0;0;0;0;0
"artystyczny";0;0;0,00150661834669311;0;0;0;0;0;0
"arwenie";0;0;0;0;0;0;0;0,00163398195950635;0
"arystarcha";0;0;0;0;0,00162727156131536;0;0;0;0
"arystotelesa";0;0;0;0;0,00162727156131536;0;0;0;0
"ascetyczny";0;0;0,00150661834669311;0;0;0;0;0;0
"astrologia";0;0;0;0;0,00325454312263071;0;0;0;0
"astronom";0;0;0;0;0,0390545174715685;0;0;0;0
"astronomia";0;0;0;0;0,00650908624526142;0;0;0;0
"astronomicznomatematycznej";0;0;0;0;0,00162727156131536;0;0;0;0
"astronomiczny";0;0;0;0;0,00488181468394607;0;0;0;0
"asysta";0;0;0;0;0;0,00812384674895518;0;0;0
"asystent";0;0;0,00150661834669311;0;0;0;0;0;0
"atak";0;0,00222139103114388;0;0,000791294308897232;0;0;0;0;0,000724057789274169
"atakować";0;0,00152062018321115;0;0;0;0;0;0;0,000991285975990092
"athenaeum";0;0;0,00150661834669311;0;0;0;0;0;0
"atlético";0;0;0;0;0;0,00162476934979104;0;0;0
"atsushi";0;0;0;0,00158258861779446;0;0;0;0;0
"audiencja";0;0;0,00150661834669311;0;0;0;0;0;0
"augsburg";0;0;0;0;0;0,00162476934979104;0;0;0
"augsburgowi";0;0;0;0;0;0,00162476934979104;0;0;0
"austriacki";0;0;0;0,00474776585338339;0;0;0;0;0
"austrii";0;0;0;0,00158258861779446;0;0;0;0;0
"austrowęgier";0;0;0;0,00158258861779446;0;0;0;0;0
"autor";0;0;0,000556048004487791;0,00058408637116441;0,00180173254842245;0;0;0,0006030541244548;0
"autorstwo";0;0;0;0,00158258861779446;0;0;0;0;0
"autorytet";0;0;0,00301323669338623;0;0;0;0;0;0
"awans";0;0;0;0;0;0,00162476934979104;0;0;0
"awansować";0;0;0;0;0;0,00162476934979104;0;0;0
"awanturniczy";0;0;0;0;0;0;0;0,00163398195950635;0
"azji";0;0;0,00150661834669311;0;0;0;0;0;0
"azs";0;0;0;0;0;0,00162476934979104;0;0;0
"bacząc";0;0,00222139103114388;0;0;0;0;0;0;0
"baczny";0;0;0;0;0;0;0,00176794478608049;0;0
"baczyńskiego";0;0;0;0;0;0,00162476934979104;0;0;0
"bać";0,000746215866629546;0,00111069551557194;0;0;0;0;0,000883972393040243;0;0
"badacz";0;0;0;0;0,00162727156131536;0;0;0;0
"badanie";0;0;0;0,000791294308897232;0,000813635780657678;0,000812384674895518;0;0;0
"badawczy";0;0;0,00103133317559045;0;0,00222784907745617;0;0;0;0
"bag";0;0,00111069551557194;0;0;0;0;0,0061878067512817;0,00163398195950635;0
"baggins";0,00055081214757171;0,00573894534694897;0;0;0;0;0,00130499163574156;0,0012061082489096;0
"bagginsa";0;0,0111069551557194;0;0;0;0;0;0;0
"bagginsowi";0;0,00222139103114388;0;0;0;0;0;0;0
"bagginsowie";0;0;0;0;0;0;0;0,00163398195950635;0
"baggio";0;0;0;0;0;0,00162476934979104;0;0;0
"bagshot";0;0;0;0;0;0;0,00176794478608049;0;0
"bajka";0;0;0;0;0;0;0;0,00163398195950635;0
"balicki";0;0;0;0,00158258861779446;0;0;0;0;0
"balin";0,00746215866629546;0;0;0;0;0;0;0;0
"balinie";0,00149243173325909;0;0;0;0;0;0;0;0
"balkon";0;0;0,00150661834669311;0;0;0;0;0;0
"bałkański";0;0;0;0,00158258861779446;0;0;0;0;0
"banda";0;0;0;0;0;0;0,00353588957216097;0;0
"bandy";0;0;0;0;0;0;0,00121022030197563;0;0,000991285975990092
"bandytyzm";0;0;0;0,00158258861779446;0;0;0;0;0
"bankieta";0;0;0;0;0;0;0;0,00163398195950635;0
"banknot";0;0;0;0;0,00162727156131536;0;0;0;0
"barahir";0;0;0;0;0;0;0;0,00163398195950635;0
"barani";0;0,00222139103114388;0;0;0;0;0;0;0
"baranina";0;0,00444278206228775;0;0;0;0;0;0;0
"barbarą";0;0;0;0;0,00162727156131536;0;0;0;0
"barbarę";0;0;0;0;0,00162727156131536;0;0;0;0
"barbary";0;0;0;0;0,00162727156131536;0;0;0;0
"barceloną";0;0;0;0;0;0,00162476934979104;0;0;0
"bard";0,0119394538660727;0;0;0;0;0;0;0;0
"bardziej";0,000399245247907227;0,000594251511250841;0;0,000423363408165227;0;0;0,00094589727446174;0,000437111807502552;0
"bariera";0;0;0;0;0;0,00162476934979104;0;0;0
"barka";0;0;0;0;0,00162727156131536;0;0;0;0
"barok";0;0;0,00150661834669311;0;0;0;0;0;0
"bartłomieja";0;0;0;0;0,00162727156131536;0;0;0;0
"baruk";0;0;0;0;0;0;0;0;0,00144811557854834
"barwa";0;0;0;0;0;0,00812384674895518;0;0;0
"barykada";0,0020432438808308;0;0;0;0;0;0;0;0,00198257195198018
"baszta";0;0;0;0;0;0;0;0;0,00289623115709668
"batorego";0;0;0;0;0;0,00162476934979104;0;0;0
"bawić";0;0;0;0;0;0;0;0,00163398195950635;0
"bayer";0;0;0;0;0;0,00162476934979104;0;0;0
"bayerem";0;0;0;0;0;0,00162476934979104;0;0;0
"bayern";0;0;0;0;0;0,00974861609874622;0;0;0
"bayernem";0;0;0;0;0;0,0113733854485373;0;0;0
"bayernie";0;0;0;0;0;0,00324953869958207;0;0;0
"bayernowi";0;0;0;0;0;0,00162476934979104;0;0;0
"bayernu";0;0;0;0;0;0,00974861609874622;0;0;0
"baziak";0;0;0,00150661834669311;0;0;0;0;0;0
"baziaka";0;0;0,00150661834669311;0;0;0;0;0;0
"bazylei";0;0;0;0;0,00162727156131536;0;0;0;0
"bazyliki";0;0;0,00301323669338623;0;0;0;0;0;0
"bądź";0,0010216219404154;0;0;0;0;0;0,0036306609059269;0;0
"beatyfikacyjny";0;0;0,00150661834669311;0;0;0;0;0;0
"beatyfikować";0;0;0,00301323669338623;0;0;0;0;0;0
"belgii";0;0;0;0,00158258861779446;0;0;0;0;0
"belgijski";0;0;0,00150661834669311;0;0;0;0;0;0
"belka";0;0;0;0;0;0;0;0;0,00289623115709668
"belli";0;0;0;0;0,00162727156131536;0;0;0;0
"bełchatów";0;0;0;0;0;0,00162476934979104;0;0;0
"benedykta";0;0;0,00301323669338623;0;0;0;0;0;0
"benellego";0;0;0,00150661834669311;0;0;0;0;0;0
"benewentu";0;0;0;0;0,00162727156131536;0;0;0;0
"beorn";0;0,00222139103114388;0;0;0;0;0;0;0
"beorna";0;0,00222139103114388;0;0;0;0;0;0;0
"berlina";0;0;0;0;0;0,00162476934979104;0;0;0
"berło";0;0;0;0,00158258861779446;0;0;0;0;0
"bernard";0;0;0;0;0,00325454312263071;0;0;0;0
"bernie";0;0;0;0,00158258861779446;0;0;0;0;0
"bezdanami";0;0;0;0,00474776585338339;0;0;0;0;0
"bezimienny";0;0;0;0;0;0;0;0;0,00144811557854834
"bezksięŝycowa";0,00149243173325909;0;0;0;0;0;0;0;0
"beznadziejny";0;0;0;0;0;0;0;0;0,00144811557854834
"bezpieczniejszy";0;0;0;0;0;0;0;0;0,00144811557854834
"bezpieczny";0,000399245247907227;0,00178275453375252;0;0;0;0;0,00094589727446174;0,000874223615005103;0,00116217026937636
"bezpośredni";0;0;0;0,00108333749447944;0;0,00222442337410796;0;0;0
"bezskuteczny";0;0;0;0;0,00162727156131536;0;0;0;0
"bezszelestny";0;0,00222139103114388;0;0;0;0;0;0;0
"będąc";0;0;0;0,00316517723558893;0;0;0;0;0
"będącej";0;0;0;0;0,00162727156131536;0;0;0;0
"będących";0;0;0;0;0,00162727156131536;0;0;0;0
"będę";0,00298486346651818;0;0;0;0;0;0;0;0
"będziemy";0,0010216219404154;0;0;0;0;0;0,00121022030197563;0;0
"będziesz";0;0;0;0;0;0;0,00176794478608049;0;0
"biała";0;0;0,00150661834669311;0;0;0;0;0;0
"biały";0;0;0,000753309173346557;0;0;0;0;0,000816990979753173;0,00217217336782251
"biblia";0;0;0,00301323669338623;0;0;0;0;0;0
"biblioteka";0;0;0;0;0,00668354723236852;0;0;0,00111851804198057;0
"bibliotheca";0;0;0;0;0,00162727156131536;0;0;0;0
"biblo";0;0,00222139103114388;0;0;0;0;0;0;0
"bić";0;0,00333208654671582;0;0;0;0;0,00176794478608049;0;0,00144811557854834
"biec";0;0;0;0;0;0;0;0;0,00144811557854834
"bieda";0,0020432438808308;0;0;0;0;0;0,00121022030197563;0;0
"biedak";0;0;0;0;0;0;0,00176794478608049;0;0
"biedaka";0;0;0;0;0;0;0,00176794478608049;0;0
"biedny";0;0;0,00150661834669311;0;0;0;0;0;0
"bieg";0;0;0;0;0;0,000599654024316921;0,000652495817870782;0,0006030541244548;0,000534456373431847
