"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"bać";1;1;0;0;0;0;1;0;0
"badacz";0;0;0;0;1;0;0;0;0
"badanie";0;0;0;1;1;1;0;0;0
"badawczy";0;0;1;0;2;0;0;0;0
"bag";0;1;0;0;0;0;7;2;0
"baggins";1;7;0;0;0;0;2;2;0
"bagginsa";0;5;0;0;0;0;0;0;0
"bagginsowi";0;1;0;0;0;0;0;0;0
"bagginsowie";0;0;0;0;0;0;0;1;0
"baggio";0;0;0;0;0;1;0;0;0
"bagshot";0;0;0;0;0;0;1;0;0
"bajka";0;0;0;0;0;0;0;1;0
"balicki";0;0;0;1;0;0;0;0;0
"balin";5;0;0;0;0;0;0;0;0
"balinie";1;0;0;0;0;0;0;0;0
"balkon";0;0;1;0;0;0;0;0;0
"bałkański";0;0;0;1;0;0;0;0;0
"banda";0;0;0;0;0;0;2;0;0
"bandy";0;0;0;0;0;0;1;0;1
"bandytyzm";0;0;0;1;0;0;0;0;0
"bankieta";0;0;0;0;0;0;0;1;0
"banknot";0;0;0;0;1;0;0;0;0
"barahir";0;0;0;0;0;0;0;1;0
"barani";0;1;0;0;0;0;0;0;0
"baranina";0;2;0;0;0;0;0;0;0
"barbarą";0;0;0;0;1;0;0;0;0
"barbarę";0;0;0;0;1;0;0;0;0
"barbary";0;0;0;0;1;0;0;0;0
"barceloną";0;0;0;0;0;1;0;0;0
"bard";8;0;0;0;0;0;0;0;0
"bardziej";1;1;0;1;0;0;2;1;0
"bariera";0;0;0;0;0;1;0;0;0
"barka";0;0;0;0;1;0;0;0;0
"barok";0;0;1;0;0;0;0;0;0
"bartłomieja";0;0;0;0;1;0;0;0;0
"baruk";0;0;0;0;0;0;0;0;1
"barwa";0;0;0;0;0;5;0;0;0
"barykada";2;0;0;0;0;0;0;0;2
"baszta";0;0;0;0;0;0;0;0;2
