"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"armia";0,00179711981788374;0;0;0,0108326389022436;0;0;0,00193056930931075;0,00192738879974022;0
"autor";0;0;0,00211942935043897;0,00216652778044873;0,00695004951351869;0;0;0,00192738879974022;0
"baggins";0,00179711981788374;0,0173874204036012;0;0;0;0;0,00386113861862149;0,00385477759948044;0
"bardziej";0,00130260661529178;0,00180041806062622;0;0,00157036464176843;0;0;0,0027986696585972;0,00139702950009053;0
"bezpieczny";0,00130260661529178;0,00540125418187866;0;0;0;0;0,0027986696585972;0,00279405900018105;0,00450263844188469
"bieg";0;0;0;0;0;0,00226729651442309;0,00193056930931075;0,00192738879974022;0,00207066371936692
"bliski";0;0;0,00423885870087794;0;0,0023166831711729;0;0,00193056930931075;0;0,00207066371936692
"brać";0,000898559908941868;0;0;0,00216652778044873;0,00347502475675934;0;0,00386113861862149;0,000963694399870109;0,00207066371936692
"brama";0,0197683179967211;0;0,00211942935043897;0;0;0;0;0,00385477759948044;0,0289892920711369
"bronić";0;0;0;0,0062814585670737;0,00167920179515832;0,00164340485766463;0,0013993348292986;0;0,00300175896125646
"brzeg";0,00179711981788374;0;0;0,00216652778044873;0;0;0,00193056930931075;0;0,00414132743873385
"brzmieć";0,00179711981788374;0;0,00211942935043897;0;0,0023166831711729;0;0;0;0,00207066371936692
"bywać";0;0;0;0;0,00463336634234579;0;0,00193056930931075;0,00385477759948044;0,00207066371936692
"cały";0;0;0;0;0;0;0;0;0
"cel";0;0,00360083612125244;0,00460867883997255;0,00471109392530528;0;0;0,0013993348292986;0;0,00150087948062823
"chcąc";0,00179711981788374;0;0;0;0,0023166831711729;0,00453459302884617;0,00193056930931075;0;0
"chcieć";0,0023491935683269;0;0,000615670295080842;0,000314675928596875;0,00100945545411275;0,000329312018299055;0,00280404292809096;0,000279942341750103;0,00210526550459502
"chociaż";0;0,00248391720051446;0;0,00216652778044873;0;0;0,00579170792793224;0,00385477759948044;0
"chwila";0,00359423963576747;0,00124195860025723;0,00105971467521949;0;0;0;0,00289585396396612;0,00192738879974022;0,00310599557905039
"ciało";0;0;0,00211942935043897;0;0,0023166831711729;0,00453459302884617;0;0;0,00207066371936692
"ciąg";0,00179711981788374;0;0;0;0;0,00680188954326926;0,00193056930931075;0,00578216639922065;0
"ciemność";0;0,00496783440102893;0;0;0;0;0,00193056930931075;0,00770955519896087;0,00207066371936692
"cieszyć";0,00179711981788374;0;0;0;0;0;0,00386113861862149;0,00192738879974022;0,00207066371936692
"czas";0;0;0;0;0;0;0;0;0
