"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"lodówa";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"loitz";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"lokalizacja";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"lokci";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"lokum";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"lolek";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"londyn";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"londynie";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"longbottom";0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
"lonu";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"lopatkami";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"los";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"lot";1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lotha";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"lothem";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"lotho";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"lód";1;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"lsnienie";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"lśnić";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
"luba";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lubański";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"lubelski";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"lubiane";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"lubić";0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0
"lubil";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"lubość";1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
"luby";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"lud";0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;1
"ludno";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"ludnosc";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"ludność";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"ludow";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"ludowy";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"ludwik";0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
"ludzi";0;0;3;1;10;0;0;0;0;4;4;1;0;6;0;4
"ludzie";6;4;6;2;0;0;0;0;0;1;0;1;1;5;2;2
"ludziom";0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"ludziska";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"ludzki";0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1
"ludźmi";1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0
"luk";0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0
"luka";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"luksemburg";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"lunąć";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lusterko";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"lustro";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"lustrum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"lute";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"luteranizm";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"lutość";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"luty";0;1;0;0;0;3;5;2;1;0;0;0;0;0;0;0
"luzjańskiego";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
"luźny";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"lva";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"lvę";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"lviii";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"lwiatka";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"lwica";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"lwowie";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"lwowski";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"lxii";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"lyrię";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"lyrii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"lyrijskiej";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"lysym";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"lzyc";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"lżej";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"lżejszy";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"łac";0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
"łachman";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"łacina";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"łacinąf";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"łaciński";0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0
"łacniej";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"ład";0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0
"ładny";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"łagodny";2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"łajdak";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"łamać";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"łamiąc";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łan";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"łańcuch";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łańcuszek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"łapa";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1
"łapczywy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"łaska";0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
"łaski";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"łatwiej";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"łatwy";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"ława";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ławica";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"ławka";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"łączka";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"łącznia";0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
"łączność";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"łączyć";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"łąka";0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
"łbem";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łbie";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łeb";0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;1
"łebek";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"łęcina";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"łęczysko";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"łęg";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"łokieć";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łomot";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łomży";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"łono";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"łopian";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"łopot";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łoskot";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"łoŝysko";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"łotrostwo";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"łowca";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"łowy";0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0
"łozina";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"łożysko";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"łódeczka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"łódź";0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
"łóŝko";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"łóżko";3;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0
"łubin";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"łubinowy";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"łucją";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łuczniczka";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"łucznik";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"łuk";0;0;2;0;2;0;0;0;0;0;0;12;0;2;0;2
"łukasz";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"łukasza";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
"łukaszem";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"łukaszowi";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"łuna";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"łupa";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"łupież";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"łuska";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"łuszczyć";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łyk";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"łykowy";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"łysica";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"łysina";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"łyśniły";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"łyzkę";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"łyżka";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"łza";5;1;1;2;0;0;0;0;0;0;0;2;0;0;0;0
"łzawy";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"macać";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"machina";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"macie";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"maciej";2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"macieja";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"maciejowi";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"macierzyństwo";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"macierzysty";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"maciora";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"mackiewicz";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mackiewiczem";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mać";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"madrale";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"madryt";0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
"magazyn";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"magda";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"magdę";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"magia";0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
"magiczka";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"magiczny";0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0
"magik";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"magikow";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"magisterium";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"magisterski";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"magistra";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"magistrum";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mahakam";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mahakamie";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mahakamu";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"mahoniowy";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mainz";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"maj";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"maja";0;0;0;0;0;7;5;2;8;0;0;0;1;0;0;0
"majab";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mając";0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0
"mające";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mającego";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mającej";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"majątek";0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0
"majdan";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"majestat";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"majowy";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"makabryczny";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"maksa";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"malarz";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"malnie";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"malo";0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
"malować";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"malowniczy";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"maly";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"malzenstwie";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mała";0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"mało";0;0;2;2;1;0;0;1;0;0;3;1;0;1;3;0
"małpa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"małŝonką";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mały";2;0;0;0;2;0;0;0;0;0;0;0;0;0;4;1
"małżeński";0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
"małżeństwo";0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0
"małżonka";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"małżonkowie";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mam";0;0;0;0;0;0;0;0;0;0;2;5;0;5;2;2
"mamrotać";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mania";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"manifestacja";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mankiet";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mansorum";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mapa";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"marać";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"marchia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
"marcin";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"marcina";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"marcinkowski";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"marek";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"marginalny";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"maria";0;0;1;0;0;1;4;1;0;0;0;0;0;0;0;0
"marią";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mariborski";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"mariboru";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mariborze";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"marii";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mario";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"marka";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"markotno";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"markotność";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"markotny";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"marny";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"marsz";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"marszalka";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"marszałek";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"martwić";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"martwota";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"martwy";0;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0
"maruderow";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"maryi";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
"maryjny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"marynować";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"marzec";0;0;0;0;0;4;2;3;2;0;0;0;0;0;0;0
"marznąć";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"marzyć";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"masa";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"masakre";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"maska";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"masyw";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"masz";0;0;1;0;1;0;0;0;0;5;1;4;0;0;0;2
"maszerując";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"matczyny";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"matecznik";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"matejki";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"matematyka";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"materialny";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"materiał";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mateusz";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mateusza";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mateuszem";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mateuszowej";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mathom";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"matka";3;0;1;0;0;5;1;1;1;0;0;0;0;2;0;0
"matula";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"matura";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"maturalny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"maurycego";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"mawiać";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"mawial";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"maxa";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"maxima";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mazowiecki";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"mazowsza";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mazurkiewicza";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mądrala";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mądrość";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
"mądry";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mąka";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mąŝ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mąt";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mąż";0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1
"mdleć";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mdli";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"meandrujac";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mechaniczny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mechanika";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mecz";0;0;0;0;0;1;0;0;41;0;0;0;0;0;0;0
"meczeć";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"meczowy";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"medalion";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"medalionik";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"medella";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"medycyna";0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0
"medyczny";0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
"medytować";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mego";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"meksyk";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"melodia";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"melzackim";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mełło";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"memoriał";0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
"mendelsonem";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mer";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"meriadok";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"meriadoka";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"merry";0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
"meskim";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"metafizyczny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"metaliczny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"metoda";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"metropolita";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
"metropolitalny";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"meve";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"meżowi";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"męczyć";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"męka";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"męŝczyzna";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"męski";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
"męt";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mętny";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mężczyzna";0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1
"mężny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"mgielny";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mglisty";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mgła";1;3;0;8;0;0;0;0;0;0;0;0;1;0;0;0
"mgławica";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mhm";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"mial";0;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0
"miala";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"mialam";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mialy";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"miał";0;0;1;0;2;0;0;0;0;0;3;2;0;0;0;0
"miano";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mianować";0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0
"mianowicie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"miara";1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"miast";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"miasta";1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
"miastach";0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0
"miastami";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"miasto";0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
"miastu";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"michaliny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"michalowa";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"michał";1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0
"michała";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"michel";0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
"miec";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"miech";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"miechowy";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"miecz";0;0;0;0;1;0;0;0;0;9;4;1;0;0;3;7
"mieczysław";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"mieczysławski";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mieć";2;0;2;8;3;1;0;0;0;0;0;5;0;2;1;1
"miedza";0;0;3;1;0;0;0;0;0;0;0;0;3;0;0;0
"miedź";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"miejscami";0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
"miejsce";1;0;3;2;2;1;2;0;8;3;1;4;0;2;0;5
"miejscowość";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"miejscowy";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"miejski";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"miekkie";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mielić";0;0;1;0;1;1;0;0;0;1;1;0;2;2;1;1
"mielismy";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mienić";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mierzić";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"miesiąc";0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
