"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"George R.R. Martin 01 - Gra o tron";"George R.R. Martin 03 - Nawalnica mieczy 01 - Stal i snieg";"George R.R. Martin 04 - Nawalnica mieczy 02 - Krew i zloto";"George R.R. Martin 05 - Uczta dla wron 01 - Cienie smierci";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"barka";0;0;0;0;0;0,00216694591969169;0;0;0;0;0;0,00295020257094792;0;0;0;0;0;0;0;0
"barwa";0;0;0,00203340683073269;0;0,00164086666316919;0;0;0;0;0;0;0;0,0135627631029049;0;0;0;0;0;0;0
"barwy";0;0;0,00203340683073269;0;0,00164086666316919;0;0,00603520527930806;0;0;0;0;0;0;0;0;0;0;0;0;0
"barykada";0;0;0;0;0;0;0;0;0,0042156447904662;0;0;0;0;0;0;0;0;0;0;0,00402170471536
"barzej";0,00797262742772967;0;0;0,00470861530104516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bawić";0;0;0;0;0;0,00178536568438761;0;0,00167911999642099;0;0;0;0;0;0;0;0;0;0;0,00181737423251408;0
"bazyliszek";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00440574017889571;0,0195025132772252;0;0;0;0;0
"będąc";0;0;0;0;0;0;0;0;0;0;0,00583818645850151;0;0;0;0;0,00326319066295419;0;0;0;0
"będę";0;0,0014019092769703;0;0;0,00104134627947614;0,00226609992715748;0,000957533403619739;0,0021312461278113;0,00220427105858656;0;0;0;0;0;0;0;0;0;0;0
"będziemy";0;0;0;0;0;0;0,00256000892490338;0,00284899152746916;0,00147330462873564;0;0;0;0;0;0;0;0;0,0017010462233607;0;0
"będziesz";0;0;0;0;0;0,00151463019888282;0;0,00427348729120373;0;0;0;0;0;0;0,00227194529832423;0;0;0,0017010462233607;0;0
"bękarci";0;0;0;0;0;0;0,00183127237865896;0,00407598539249983;0;0;0;0;0;0;0;0;0;0;0;0
"belka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00460100844167225;0;0;0,00402170471536
"bezimienny";0;0;0;0;0,00199156360604758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00201085235768
"beznadziejny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00460100844167225;0;0;0,00201085235768
"bezpieczny";0;0;0;0;0,000599520383693046;0,000652315720808871;0,00110253583241455;0,000613496932515337;0,000634517766497462;0;0;0;0;0;0;0,000982318271119843;0,00138504155124654;0,00146520146520147;0,00132802124833997;0,00181598062953995
"bezpośredni";0;0;0;0;0;0;0;0;0;0;0,00291909322925076;0;0,00658459483624849;0;0;0;0;0;0;0
"bezruch";0;0;0;0;0,00199156360604758;0;0;0;0;0;0;0;0;0;0;0,00326319066295419;0;0;0;0
"biała";0,0016;0,00161420500403551;0,00148588410104012;0;0,00239808153477218;0;0;0;0;0,00160513643659711;0;0;0;0;0;0;0;0;0;0
"białawy";0,00218957247533297;0,00220901177898806;0;0,00193973465213764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"białe";0;0;0,00172505801997575;0,00164559042869409;0;0;0;0;0;0;0;0;0;0;0,00227194529832423;0,00228087239183434;0;0;0;0
"biały";8e-04;0,00161420500403551;0;0;0,000599520383693046;0;0,000551267916207277;0,00368098159509202;0;0,000802568218298555;0;0;0;0;0,000978473581213307;0,00196463654223969;0;0;0,000664010624169987;0,00181598062953995
"biblioteka";0;0;0;0;0;0;0,00150880131982702;0;0;0;0;0,0145841861145624;0;0;0;0;0;0;0,00181737423251408;0
"bić";0,0032;0,00484261501210654;0;0,00850460666194188;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00293040293040293;0;0,00242130750605327
"biec";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00440574017889571;0;0;0;0;0;0,00201085235768
"bieda";0;0,00220901177898806;0;0;0;0;0;0;0,00347330659158148;0;0;0;0;0;0;0;0;0,00200510299938916;0;0
"biedaka";0;0;0,00246800007049581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00243364695596144;0;0
"biedny";0,0016;0,00161420500403551;0,00148588410104012;0;0;0,00130463144161774;0;0;0;0,00160513643659711;0;0;0;0;0;0;0;0;0;0
"bieg";0;0;0;0;0;0;0;0;0;0;0;0;0,00230121714062177;0;0;0;0;0,0017010462233607;0,00154178492356399;0,00140552548116668
"biegać";0,00218957247533297;0,00220901177898806;0;0;0;0;0,00150880131982702;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegł";0;0;0,00493600014099162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00201085235768
"biegła";0;0;0,00246800007049581;0,00235430765052258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegnąć";0;0;0;0,00193973465213764;0;0;0;0;0,00173665329579074;0;0;0;0;0;0;0;0;0,00200510299938916;0;0
"bielić";0;0,00374806794977782;0,00517517405992726;0,00164559042869409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00140552548116668
"bieży";0,00265754247590989;0;0,00246800007049581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bila";0;0,00268113647690667;0;0;0;0;0;0,00203799269624992;0;0;0;0;0;0;0;0;0;0;0;0
"bilba";0;0;0;0;0;0;0;0;0,00632346718569929;0;0;0;0;0;0;0;0;0;0,0330869332160096;0
"bilbo";0;0;0;0;0;0;0;0;0,0295095135332634;0;0;0;0;0;0;0;0;0;0,0419101154069455;0
"biodro";0;0;0;0;0;0,00216694591969169;0;0;0;0;0;0;0;0;0,00650083775907507;0;0;0;0;0
"biret";0;0;0;0;0;0;0;0;0;0,00266607391242966;0;0;0;0;0,00325041887953754;0;0;0;0;0
"biskup";0;0;0,00203340683073269;0;0;0;0;0;0;0,0241626176049986;0;0,0413218606579267;0;0;0;0;0;0;0;0
"biskupstwo";0;0;0;0;0;0;0;0;0;0,00266607391242966;0;0,00885060771284377;0;0;0;0;0;0;0;0
"bitwa";0;0;0;0;0;0,00521852576647097;0,00110253583241455;0;0,00634517766497462;0;0;0;0;0;0;0;0;0;0,00132802124833997;0,00484261501210654
"blade";0;0;0;0,00193973465213764;0,00492259998950757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00165675883424104
"blady";0;0,00122241579727987;0,00225048019736963;0,00107340409130387;0,00090801748970609;0;0;0;0;0;0;0;0;0;0,00296393967285667;0,00148779290061862;0;0;0,0010056926778418;0
"błagać";0;0;0;0;0;0,00433389183938338;0;0,00203799269624992;0;0;0;0;0;0;0;0;0;0;0;0
"błagając";0;0;0;0;0;0,00216694591969169;0;0,00203799269624992;0;0;0;0;0;0;0;0;0;0;0;0
"blask";0,00138957247533297;0;0;0;0,007289423956333;0;0,000957533403619739;0;0,00110213552929328;0;0;0;0;0;0;0,001706253039456;0;0;0;0,00105143195772773
"blat";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00440574017889571;0,00325041887953754;0;0;0;0;0
"blednąć";0;0;0;0,00235430765052258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00201085235768
"błędny";0,00265754247590989;0;0;0;0;0;0;0;0;0;0;0,00295020257094792;0;0;0;0;0;0;0;0
"błękit";0;0;0,00246800007049581;0;0,00199156360604758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bliski";0;0;0;0,000936873206865601;0;0;0,000728736546244411;0;0;0,00212187495166511;0;0,00117400363666728;0;0;0;0,00519421648285801;0,00366185067835834;0,000968445490759972;0;0,000800198604653367
"bliżej";0;0;0;0,00329118085738818;0,00139204322235453;0;0;0,00142449576373458;0;0;0;0;0;0;0;0;0;0,0017010462233607;0;0
"blizna";0;0;0;0;0,00164086666316919;0;0,00301760263965403;0,0100747199785259;0;0;0;0;0;0;0;0;0;0;0;0
"bliższy";0;0;0;0,00470861530104516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00201085235768
"błogosławieństwo";0;0;0,00246800007049581;0;0;0;0;0;0;0,00266607391242966;0;0;0;0;0;0;0;0;0;0
"błogosławiony";0;0;0;0;0;0;0,00549381713597689;0,00203799269624992;0;0;0;0;0;0;0;0;0;0;0;0
"błoto";0;0,00268113647690667;0;0;0,00199156360604758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"błysk";0;0;0;0;0,00239808153477218;0;0;0,00122699386503067;0,00126903553299492;0;0;0;0;0;0;0,00196463654223969;0;0;0;0,00121065375302663
"błysnąć";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00220579554773397;0,00201085235768
"błyszczeć";0;0;0,00406681366146539;0,00193973465213764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00165675883424104
"bóg";0,00211508495181978;0,00320079441861347;0,00785692775564554;0,0028106196205968;0,00158504567732298;0;0;0;0;0,00318281242749766;0;0;0;0;0;0,0012985541207145;0,00183092533917917;0;0;0
"bogactwo";0;0;0;0;0;0;0;0;0,00632346718569929;0;0;0;0;0;0;0;0;0;0,00441159109546794;0
